Time (s),Depth,Sonic_Velocity,AC,R64,RD,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1.864,1897.8481853311594,1841.5993489669538,165.5088517197635,31.189616987411302,4.058788162378449,-2629.8232,221.0198974609375,2629.8232,-1304.3923828125,6915970.5
1.868,1901.5084826009231,1854.1826377457703,164.38511962416106,30.21426662952342,2.958027039178,-525.96484,29.141267776489258,525.96484,-1977.626953125,276639.03
1.872,1904.8989433844054,1641.2067823624109,185.71700000000007,27.04128150138785,3.6456666666666666,420.77148,27.877857208251953,420.77148,-1893.47265625,177048.64
1.876,1908.31877807085,1777.5489044767608,171.47432244905235,31.051,4.367340224820412,-210.38574,163.32875061035156,210.38574,-1367.5080078125,44262.16
1.88,1912.0134876769544,1836.553989938978,165.96316863124068,27.091323078206084,5.3025278985212205,-1262.3154,227.84640502929688,1262.3154,-841.5435546875,1593440.2
1.884,1915.5135812602969,1676.6880010181258,181.7870534159876,28.700752620262744,37.88284756024625,-946.7363,30.377103805541992,946.7363,-504.926171875,896309.7
1.888,1918.7436012985597,1807.9793102630108,168.58600000000004,25.40127974028755,22.26854975610279,1051.9287,29.679214477539062,1051.9287,-189.3474609375,1106554.0
1.892,1922.475589295181,2212.514810958811,137.76226809221484,31.028558929517835,22.46446986045746,3260.9795,28.56922721862793,3260.9795,378.694140625,10633987.0
1.896,1928.1141954941488,3105.210838937967,98.15942162032837,34.21186737641605,24.065736918248064,4102.5195,28.035097122192383,4102.5195,1241.2751953125,16830666.0
1.9,1934.152955826531,3160.105538863803,96.45257849415137,,29.132,2945.4014,26.675893783569336,2945.4014,2082.8185546875,8675389.0
1.904,1942.3070477463796,4359.797744290997,69.91149999999999,,28.046986016102508,210.38574,26.459495544433594,210.38574,2314.24296875,44262.16
1.908,1950.7180149086125,4065.9787705878107,74.96351118146943,,31.048529684170607,-2945.4014,26.42226791381836,2945.4014,1514.776953125,8675389.0
1.912,1959.094169036032,4065.3264300053843,74.97559457258004,,28.61833543521423,-4944.0664,26.107011795043945,4944.0664,-126.2322265625,24443792.0
1.916,1967.2332164554746,3846.0881157701774,79.24979850718343,,36.980000000000004,-4733.6797,222.54672241210938,4733.6797,-1893.4720703125,22407724.0
1.92,1976.2142212762417,4991.553768556137,61.063229233369896,,37.663999999999994,-2103.8584,28.83519744873047,2103.8584,-2903.3240234375,4426220.0
1.924,1985.976738870211,4672.604022859969,65.23306204472759,,37.40001828647998,1472.7002,31.41889762878418,1472.7002,-2650.8611328125,2168845.8
1.928,1995.6450533342659,4861.3092226456,62.7024632753271,,37.739362920259936,3681.751,36.32181167602539,3681.751,-1325.4306640625,13555290.0
1.932,2004.6860571279985,3783.2984453718564,80.56499321734996,,31.351,2629.8213,40.953861236572266,2629.8213,189.346875,6915960.0
1.936,2012.1152758478743,3158.2115627282587,96.51117511313586,,47.809999999999995,-841.54395,43.42814254760742,841.54395,967.7740234375,708196.2
1.94,2020.6044686752425,5650.097007441605,53.95266652241519,,36.94992581557537,-4207.715,41.5119514465332,4207.715,547.002734375,17704864.0
1.944,2028.8112585399995,4586.794438914063,66.45208421368696,,35.5740446609339,-4312.9062,213.38673400878906,4312.9062,-610.1185546875,18601160.0
