Time (s),Depth,RD,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1.12,1392.8779526048643,26.49184227198314,7675.883,27.182422637939453,7675.883,2851.04140625,58919176.0
1.124,1400.075620881008,24.91826203603963,10965.551,24.473251342773438,10965.551,4210.7703125,120243304.0
1.128,1407.408488001572,21.26485672108654,7895.1953,23.888586044311523,7895.1953,5614.3609375,62334108.0
1.132,1414.699058302404,24.537568619646244,-877.24414,22.815752029418945,877.24414,5570.498828125,769557.3
1.136,1422.036354978828,25.81954103920179,-10965.551,21.955272674560547,10965.551,2938.766796875,120243304.0
1.14,1429.4506359582404,26.733463388066337,-17544.883,21.097885131835938,17544.883,-2105.386328125,307822900.0
1.144,1437.1824185814335,25.622775004940593,-18202.816,229.82705688476562,18202.816,-7939.059765625,331342530.0
1.148,1444.717675875363,18.559995502742417,-13597.281,18.940977096557617,13597.281,-12237.555078125,184886060.0
1.152,1452.208016260436,20.6698152841446,-7456.574,15.62770938873291,7456.574,-13553.42109375,55600500.0
1.156,1459.8586541673449,26.346432541346317,-3947.5996,7.682112693786621,3947.5996,-12149.830859375,15583543.0
1.16,1467.3076778803393,21.309984995558196,-4605.5312,5.3200531005859375,4605.5312,-9561.960546875,21210918.0
1.164,1474.4786663147765,27.09914638867375,-6140.707,1.4699231386184692,6140.707,-7149.538671875,37708284.0
1.168,1481.967359029859,25.758614274613915,-3289.666,13.676253318786621,3289.666,-5088.015625,10821902.0
1.172,1489.1164863833408,27.141519215984292,5921.3984,18.831201553344727,5921.3984,-2412.42109375,35062960.0
