Time (s),Depth,Sonic_Velocity,AC,PERM,PORT,RT,SW,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1.064,2665.97743913662,4431.051856716112,68.79085293062543,0.1,0.060871956831003285,50.38290334518518,100.0,11441.703,28.547470092773438,11441.703,5768.5265625,130912570.0
1.068,2675.8215165692013,4890.403243112993,62.32627676998146,0.1,0.0,50.25997757895062,100.0,3098.7969,28.61737632751465,3098.7969,7580.1296875,9602542.0
1.072,2685.715367133127,5039.884243909215,60.47762556780018,0.1,0.0,57.88939641808929,100.0,-6197.59,28.675098419189453,6197.59,6149.91640625,38410120.0
1.076,2695.9618152126122,5335.3778613326895,57.128099999999996,0.1,0.09661815212612888,67.21363289994795,100.0,-10249.859,27.209766387939453,10249.859,2336.01484375,105059620.0
1.08,2706.225143021219,5156.435495510605,59.110608653056865,0.1,0.08874856978780173,79.20779912751594,100.0,-8819.645,226.01280212402344,8819.645,-2145.31875,77786130.0
1.084,2716.5496502615333,5156.006018642131,59.11617657703922,0.1,0.08448950784598333,75.03803427436979,100.0,-5482.4805,20.60081672668457,5482.4805,-5530.15546875,30057592.0
1.088,2726.6228055371084,5254.901180265523,58.0030454342312,0.1,0.062456110742153736,92.25593462215669,100.0,-2622.0566,16.83443260192871,2622.0566,-6674.326171875,6875181.0
1.092,2737.141788750631,5360.145952615631,56.864189677661365,0.1,0.0,145.4592978624441,100.0,238.36914,17.98019790649414,238.36914,-5387.134375,56819.848
1.096,2747.6387803236107,5540.308644563285,55.016682261788276,0.1,0.020060983819477032,138.61715276320115,100.0,4290.6406,23.320844650268555,4290.6406,-2479.034375,18409596.0
1.1,2758.1036132357494,5301.828437352168,57.48970103494321,0.1,0.058963867642515114,128.45008345119152,100.0,7627.801,26.92229461669922,7627.801,810.4546875,58183344.0
1.104,2768.841155901016,5323.552314634859,57.255604682234676,0.1,0.07905779505077692,104.6337007378477,100.0,7151.0664,29.553293228149414,7151.0664,3337.1640625,51137750.0
1.108,2779.3762063706868,5154.449385506272,59.13395020855258,0.1,0.08176206370687467,103.65123955497015,100.0,2622.0586,29.274810791015625,2622.0586,4385.987109375,6875191.5
1.112,2789.9411374696756,5282.742431354044,57.697973202195314,0.1,0.0924113746967649,89.43400966544138,100.0,-1906.9492,26.81545066833496,1906.9492,3956.9234375,3636455.2
1.116,2800.2885913203586,5503.408327618133,55.384145484403284,0.1,0.00022817359284763809,85.26720099095212,100.0,-3813.9004,24.112060546875,3813.9004,2336.015234375,14545836.0
1.12,2810.798828161097,4934.4737933059305,61.76953354063483,0.1,0.018046873556188992,94.59150033825077,100.0,-3098.795,13.225228309631348,3098.795,190.69609375,9602530.0
1.124,2821.335081439796,4985.365442650831,61.1395604826888,0.1,1.0323472350811986,80.59760832087755,100.0,-2860.4258,1.8866310119628906,2860.4258,-1811.60234375,8182035.5
1.128,2831.3427249073106,5123.046460275566,59.50209911591558,0.1,0.0,81.75465602357575,100.0,-3337.164,6.4708452224731445,3337.164,-3003.446875,11136664.0
1.132,2841.7773180862323,5310.618118957635,57.39456739299449,0.1,0.0814536382753688,97.98587075893737,100.0,-4052.2695,238.49513244628906,4052.2695,-3432.5109375,16420888.0
1.136,2852.201667061502,4949.053688676856,61.58758244537513,0.1,1.5782645977212257,93.80478662797266,100.0,-3813.9004,16.302579879760742,3813.9004,-3432.5109375,14545836.0
1.14,2862.5815032587093,5158.190060282957,59.090893362121236,0.1,0.07544509776124572,100.97712057242859,100.0,-2860.4258,12.999444007873535,2860.4258,-3384.837109375,8182035.5
1.144,2872.9713262206924,5183.315191511931,58.80406433688965,0.1,0.0,102.65716498322355,100.0,-1906.9492,10.92686939239502,1906.9492,-3194.141796875,3636455.2
1.148,2883.570548820059,5206.384612682756,58.54362455449686,0.1,0.09400000000000001,103.5392543553836,100.0,-476.73633,12.02538776397705,476.73633,-2622.05625,227277.53
1.152,2893.972023114293,5432.026072109699,56.11167866540544,0.1,0.07755953771413493,109.71133786192789,100.0,1906.9512,14.516443252563477,1906.9512,-1430.212109375,3636462.8
1.156,2904.3834760382724,5258.027882781538,57.96860537366606,0.1,0.0,147.52973169929626,100.0,5005.746,16.56737518310547,5005.746,333.7171875,25057494.0
1.16,2915.052129570427,5399.3896195708185,56.45098178675717,0.1,0.08356388711279045,209.01872234450457,100.0,7866.172,18.687273025512695,7866.172,2479.03671875,61876660.0
1.164,2925.706763972762,5208.2160871885735,58.52308606193892,0.1,0.03013527945526872,201.81832837667304,100.0,8581.277,20.309871673583984,8581.277,4576.68203125,73638320.0
1.168,2936.279176216548,5070.077444658753,60.11782591440844,0.1,0.06962471350359001,172.72012140009178,100.0,6435.957,20.252389907836914,6435.957,5959.220703125,41421544.0
1.172,2946.7333877796627,5015.7038665859,60.76913820627986,0.1,0.013667755593265014,167.22425104880185,100.0,2860.4277,19.118789672851562,2860.4277,6149.916015625,8182047.0
1.176,2957.256295362239,5347.368421052632,57.0,0.1,0.039,213.75749706971035,100.0,715.1074,11.886183738708496,715.1074,5291.78828125,511378.62
1.18,2968.0808080626307,5705.620144559422,53.42230517231838,0.1,0.04312120939445504,169.60427423737974,100.0,953.47656,6.733456611633301,953.47656,3909.24921875,909117.56
1.184,2978.573258690068,5577.672428543059,54.64681006445203,0.1,0.0,148.958878634948,100.0,2145.3203,10.817525863647461,2145.3203,2622.0578125,4602399.0
1.188,2989.241571982553,5122.860972284531,59.498055554294105,0.1,0.0708314396510687,125.19516921521814,100.0,2145.3203,8.597296714782715,2145.3203,1763.93046875,4602399.0
