Time (s),Depth,PHI,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1.648,3070.7513190561067,0.09982180329361108,-1074.1328,11.838064193725586,1074.1328,708.929296875,1153761.2
1.652,3081.295579083027,0.1791084698849814,-1611.2002,8.620087623596191,1611.2002,-193.343359375,2595966.0
1.656,3091.057472056977,0.2236666206948359,-2685.334,14.63550090789795,2685.334,-1095.6158203125,7211018.5
1.66,3101.1105874344325,0.16694945340871928,-3652.0547,231.16221618652344,3652.0547,-1911.9576171875,13337503.0
1.664,3111.0769131369902,0.2462,-3652.0547,20.995981216430664,3652.0547,-2534.9552734375,13337503.0
1.668,3121.2179732378177,0.11215086166278392,-2148.2666,22.07562828063965,2148.2666,-2749.78203125,4615049.5
1.672,3131.177015290128,0.2461,537.0674,22.563411712646484,537.0674,-2320.128515625,288441.38
1.676,3141.8695834469695,0.10971207731140953,3329.8154,22.356111526489258,3329.8154,-1117.0986328125,11087671.0
1.68,3152.4689992263256,0.246,5263.254,21.98344612121582,5263.254,665.9630859375,27701842.0
1.684,3163.1163313543116,0.246,5692.91,23.014070510864258,5692.91,2534.9560546875,32409226.0
1.688,3173.715853104651,0.16480246339488377,4081.71,23.735271453857422,4081.71,3780.9513671875,16660356.0
1.692,3183.8457271268576,0.2459,751.89453,24.937713623046875,751.89453,3823.916796875,565345.4
1.696,3194.7812063351585,0.2459,-3329.8145,27.09381866455078,3329.8145,2491.9908203125,11087664.0
1.7,3205.5604812545494,0.2459,-5907.7344,28.307090759277344,5907.7344,257.7931640625,34901324.0
1.704,3216.462302207863,0.2458,-5478.082,220.13478088378906,5478.082,-1976.4052734375,30009382.0
1.708,3227.3633591416556,0.2458,-1826.0264,32.12133026123047,1826.0264,-3157.9525390625,3334372.2
1.712,3237.2978288576655,0.2458,2900.163,33.52878952026367,2900.163,-2728.298828125,8410946.0
1.716,3247.235264487388,0.13581889152950638,5585.496,34.386592864990234,5585.496,-945.23671875,31197766.0
1.72,3256.979818491994,0.2457,4403.949,34.9301872253418,4403.949,1117.1,19394768.0
1.724,3267.048334050369,0.2457,0.0,34.608299255371094,0.0,2212.71640625,0.0
1.728,3276.8316151885497,0.2457,-4618.7734,33.50137710571289,4618.7734,1654.1669921875,21333068.0
1.732,3286.688371612567,0.2456,-6444.801,217.88973999023438,6444.801,-214.82578125,41535456.0
1.736,3296.666173575473,0.2456,-4403.9453,31.088762283325195,4403.9453,-2212.7140625,19394734.0
1.74,3306.2622638135554,0.2456,322.2412,30.146766662597656,322.2412,-3029.0556640625,103839.4
