Time (s),Depth,Sonic_Velocity,AC,PHIT,R64,RD,TEMP,SW,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1.368,2385.7943079334946,4567.284390212792,66.7363070175592,0.1934016795250364,71.08285008455417,70.06775061655905,101.46464062213771,1.0,2363.0947,21.785104751586914,2363.0947,3093.5052734375,5584216.5
1.372,2395.2763077314125,4923.527490354446,61.90729522898967,0.10199538148722949,64.68007693285242,58.82897970928134,101.73361292421089,1.0,537.0674,16.022632598876953,537.0674,3265.3666015625,288441.38
1.376,2404.7893645129225,4703.631116803753,64.801,0.11881712246506268,65.07070432007636,39.71899907352927,102.00349157087463,1.0,-537.0664,10.848611831665039,537.0664,2470.507421875,288440.3
1.38,2414.642068967838,4843.928766151224,62.924282753982624,0.13682827573621198,88.88985519523119,72.84524812136095,102.28297793109974,1.0,-1503.7861,8.496432304382324,1503.7861,1095.6166015625,2261372.8
1.384,2423.962410314677,4891.826828538367,62.31041020793833,0.21680860979145802,83.18784350340133,76.16063149144091,102.5474098991255,1.0,-3652.0547,13.550975799560547,3652.0547,-558.5490234375,13337503.0
1.388,2433.398485522169,4308.961075034611,70.73777502384279,0.1932227616299607,69.7466351914484,42.12766108996653,102.81505759462037,1.0,-6874.453,19.37357521057129,6874.453,-2406.05859375,47258104.0
1.392,2442.9588178830004,4911.576438197212,62.05885723852008,0.08854738066928727,65.29203839563426,63.09798065705775,103.08624690072386,1.0,-9022.723,227.78575134277344,9022.723,-4318.0166015625,81409530.0
1.396,2452.5722478307807,4897.272953436883,62.2387521692097,0.08702821312343527,70.97913516812791,49.65380734838201,103.35899518709293,1.0,-7733.7617,23.707956314086914,7733.7617,-5757.3556640625,59811070.0
1.4,2462.103287843083,4788.621838775691,63.651832532756465,0.09011290352295614,66.27073449405806,49.56734365527523,103.62939205960669,1.0,-2255.6807,24.540786743164062,2255.6807,-5907.7345703125,5088095.5
1.404,2471.44243954661,4853.851951682922,62.80303167510007,0.2477,60.34086180099934,34.76999525191467,103.89428830730486,1.0,5478.082,25.073123931884766,5478.082,-4081.7072265625,30009382.0
1.408,2480.6941206858733,4295.833160910804,70.95260032980245,0.15771186194816045,63.507486876316875,42.047,104.15673537920463,1.0,11600.645,25.38125228881836,11600.645,-386.6876953125,134574960.0
1.412,2489.8202505867557,4982.460318698934,61.17470133237199,0.24666722007586492,67.05617133778486,48.171877985182235,104.41566701642894,1.0,12782.191,25.163156509399414,12782.191,3974.2951171875,163384420.0
1.416,2499.078071797923,5160.196107422267,59.067637122113055,0.15384650258553198,85.6083836018359,81.72445800514761,104.67828601034213,1.0,8807.898,24.796817779541016,8807.898,7282.6271484375,77579070.0
1.42,2508.9593883562466,4486.998939563267,67.93865039848679,0.11530739863675431,97.70650147279126,71.89712507228234,104.958622262331,1.0,2148.2686,24.313438415527344,2148.2686,8163.4169921875,4615058.0
1.424,2518.359107753399,5075.295998393358,60.05624885848491,0.05984163339569126,93.42721906913592,71.19743529284138,105.22525501709487,1.0,-3544.6406,23.080551147460938,3544.6406,6358.8724609375,12564477.0
1.428,2527.6799938115496,5112.45997703097,59.62173836311627,0.1375996905778929,99.41781138673355,75.634,105.48963982672362,1.0,-6122.5625,20.77523422241211,6122.5625,2814.2310546875,37485772.0
1.432,2537.0628484470158,3987.213557288868,76.45507768041902,0.20512691431068786,100.88818904325024,76.89989174394853,105.75585975651667,1.0,-6122.5625,16.8436336517334,6122.5625,-966.7197265625,37485772.0
