Time (s),Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
4.083,-4965.839843750022,171.47651481630513,4965.839843750022,-4735.103613281228,24659565.35377524
4.0840000000000005,-5015.999999999354,218.65219116206808,5015.999999999354,-4915.679687499881,25160255.99999352
4.085,-4288.680175781088,172.15911197661322,4288.680175781088,-4810.343847656098,18392777.650137704
4.086,-3561.360351562177,125.66603279111705,3561.360351562177,-4549.512011718529,12683287.553679073
4.087,-2834.0405273439114,79.17295360566217,2834.0405273439114,-4133.184179687311,8031785.710627756
4.088,-2106.720703125,32.679874420166016,2106.720703125,-3561.360351562307,4438272.120975494
4.089,-953.0407714838625,32.89916133880625,953.0407714838625,-2748.768505859209,908286.7121105558
4.09,200.63916015625,33.11844825744629,200.63916015625,-1850.9046386717412,40256.07258820534
4.091,1354.3190917973875,33.337735176086525,1354.3190917973875,-867.7687499998283,1834180.2024069005
4.0920000000000005,2507.9990234381685,33.55702209472645,2507.9990234381685,200.6391601565878,6290059.101566806
4.093,3260.3986816407923,33.428773880004854,3260.3986816407923,1274.0630371097463,10630199.563245017
4.094,4012.7983398440842,33.300525665283146,4012.7983398440842,2267.230859375336,16102550.516255438
4.095,4765.197998046708,33.17227745056155,4765.197998046708,3180.142626953427,22707111.96058835
4.096,5517.59765625,33.044029235839844,5517.59765625,4012.798339843949,30443883.896255493
4.097,5342.038085937422,32.93688201904292,5342.038085937422,4579.6061523438,28537370.911605954
4.098,5166.478515625,32.829734802246094,5166.478515625,4960.822119140642,26692500.252414703
4.099,4990.918945312422,32.72258758544917,4990.918945312422,5156.44624023431,24909271.918678455
4.1,4815.359375,32.615440368652344,4815.359375,5166.478515624968,23187685.91040039
4.101,3887.399414062294,32.57641696929931,3887.399414062294,4840.438867187427,15111874.204451866
4.102,2959.439453124588,32.537393569946275,2959.439453124588,4363.91914062486,8758281.87671036
4.103,2031.479492187706,32.49837017059327,2031.479492187706,3736.9193359374012,4126908.9271792197
4.104,1103.51953125,32.459346771240234,1103.51953125,2959.4394531249172,1217755.3558502197
